img_id,path,obj_main,ann_id_main,obj_1,ann_id_1
403385,000000403385.jpg,toilet,1096418,sink,1131709.0
331352,000000331352.jpg,toilet,1096069,sink,1982048.0
143931,000000143931.jpg,bus,168219,person,2155619.0
153299,000000153299.jpg,giraffe,598785,giraffe,598992.0
308394,000000308394.jpg,person,207593,bench,1395274.0
41888,000000041888.jpg,bird,36154,bird,42791.0
184321,000000184321.jpg,train,171481,,
297343,000000297343.jpg,stop sign,270208,,
336587,000000336587.jpg,stop sign,270138,,
122745,000000122745.jpg,stop sign,271021,,
555705,000000555705.jpg,cat,49029,cat,49839.0
443303,000000443303.jpg,cat,49797,suitcase,1185128.0
418281,000000418281.jpg,cow,72652,,
85329,000000085329.jpg,person,555133,,
511321,000000511321.jpg,boat,177075,boat,179766.0
314294,000000314294.jpg,elephant,581352,,
475779,000000475779.jpg,elephant,580059,,
572517,000000572517.jpg,bird,37181,bear,586476.0
270244,000000270244.jpg,zebra,591610,,
125211,000000125211.jpg,zebra,588463,,
562121,000000562121.jpg,zebra,591254,zebra,592666.0
382088,000000382088.jpg,horse,56733,,
266409,000000266409.jpg,person,424092,,
430961,000000430961.jpg,person,487281,,
80671,000000080671.jpg,person,1710090,,
476258,000000476258.jpg,person,484929,skateboard,643561.0
448365,000000448365.jpg,person,439433,,
35197,000000035197.jpg,person,511969,,
180135,000000180135.jpg,person,467663,skateboard,640102.0
180560,000000180560.jpg,person,448194,person,450889.0
