img_id,query_type,prompt,output,target_token,token_index,num_target_hotspots,num_distractors,kmeans_threshold,tbr,is_correct_id,failure_reason
403385,Positive,Which of the following objects is in this image? | A) sheep | B) spoon | C) microwave | D) toilet | Answer with the letter and the object name.,D,D,0,2,5,0.6,0.0,0,FP_Scattered
331352,Positive,Which of the following objects is in this image? | A) hair drier | B) toilet | C) frisbee | D) potted plant | Answer with the letter and the object name.,B,B,0,3,0,0.549,0.0,0,FP_Mispointed
143931,Negative,Which of the following objects is in this image? | A) zebra | B) suitcase | C) bowl | D) orange | Answer with the letter and the object name.,D,D,0,0,6,0.5137,0.0,0,FP_Hallucination
153299,Positive,Which of the following objects is in this image? | A) hot dog | B) stop sign | C) giraffe | D) spoon | Answer with the letter and the object name.,C,C,0,1,0,0.4549,2.1491000652313232,1,None
308394,Positive,Which of the following objects is in this image? | A) dog | B) dining table | C) potted plant | D) person | Answer with the letter and the object name.,D,D,0,2,10,0.5451,0.0,0,FP_Scattered
41888,Negative,Which of the following objects is in this image? | A) zebra | B) train | C) bear | D) refrigerator | Answer with the letter and the object name.,A,A,0,0,7,0.6392,0.0,0,FP_Hallucination
184321,Positive,Which of the following objects is in this image? | A) tv | B) toilet | C) hair drier | D) train | Answer with the letter and the object name.,D,D,0,2,2,0.5529,0.0,0,FP_Scattered
297343,Positive,Which of the following objects is in this image? | A) fire hydrant | B) stop sign | C) umbrella | D) baseball bat | Answer with the letter and the object name.,B,B,0,1,9,0.6471,0.0,0,FP_Scattered
336587,Positive,Which of the following objects is in this image? | A) dog | B) stop sign | C) baseball bat | D) sports ball | Answer with the letter and the object name.,B,B,0,0,7,0.7373,0.0,0,FP_Scattered
122745,Positive,Which of the following objects is in this image? | A) motorcycle | B) remote | C) giraffe | D) stop sign | Answer with the letter and the object name.,D,D,0,0,8,0.7137,0.0,0,FP_Scattered
555705,Positive,Which of the following objects is in this image? | A) cake | B) bus | C) frisbee | D) cat | Answer with the letter and the object name.,D,D,0,2,1,0.5333,0.0,0,FP_Scattered
443303,Negative,Which of the following objects is in this image? | A) surfboard | B) traffic light | C) giraffe | D) skis | Answer with the letter and the object name.,A,A,0,0,4,0.6824,0.0,0,FP_Hallucination
418281,Positive,Which of the following objects is in this image? | A) keyboard | B) hair drier | C) train | D) cow | Answer with the letter and the object name.,D,D,0,1,2,0.7098,0.0,0,FP_Scattered
85329,Positive,Which of the following objects is in this image? | A) laptop | B) person | C) dining table | D) tv | Answer with the letter and the object name.,B,B,0,2,3,0.6588,0.0,0,FP_Scattered
511321,Negative,Which of the following objects is in this image? | A) frisbee | B) umbrella | C) backpack | D) apple | Answer with the letter and the object name.,B,B,0,0,7,0.6627,0.0,0,FP_Hallucination
314294,Positive,Which of the following objects is in this image? | A) elephant | B) bicycle | C) bus | D) remote | Answer with the letter and the object name.,A,A,0,1,4,0.5725,0.0,0,FP_Scattered
475779,Negative,Which of the following objects is in this image? | A) toaster | B) remote | C) motorcycle | D) cow | Answer with the letter and the object name.,D,D,0,0,5,0.7333,0.0,0,FP_Hallucination
572517,Positive,Which of the following objects is in this image? | A) snowboard | B) keyboard | C) oven | D) bird | Answer with the letter and the object name.,D,D,0,1,0,0.4706,2.560499906539917,1,None
270244,Positive,Which of the following objects is in this image? | A) elephant | B) couch | C) zebra | D) potted plant | Answer with the letter and the object name.,C,C,0,1,7,0.698,0.0,0,FP_Scattered
125211,Positive,Which of the following objects is in this image? | A) keyboard | B) couch | C) zebra | D) suitcase | Answer with the letter and the object name.,C,C,0,2,5,0.6,0.0,0,FP_Scattered
562121,Positive,Which of the following objects is in this image? | A) zebra | B) person | C) motorcycle | D) dog | Answer with the letter and the object name.,A,A,0,1,4,0.5804,0.0,0,FP_Scattered
382088,Positive,Which of the following objects is in this image? | A) horse | B) toilet | C) chair | D) truck | Answer with the letter and the object name.,A,A,0,1,5,0.451,0.0,0,FP_Scattered
266409,Positive,Which of the following objects is in this image? | A) parking meter | B) person | C) pizza | D) handbag | Answer with the letter and the object name.,B,B,0,2,4,0.6196,0.0,0,FP_Scattered
430961,Positive,Which of the following objects is in this image? | A) airplane | B) elephant | C) person | D) motorcycle | Answer with the letter and the object name.,C,C,0,1,3,0.5882,0.0,0,FP_Scattered
80671,Positive,Which of the following objects is in this image? | A) broccoli | B) apple | C) person | D) bench | Answer with the letter and the object name.,C,C,0,2,4,0.6157,0.0,0,FP_Scattered
476258,Negative,Which of the following objects is in this image? | A) mouse | B) sink | C) dog | D) suitcase | Answer with the letter and the object name.,C,C,0,0,8,0.5529,0.0,0,FP_Hallucination
448365,Positive,Which of the following objects is in this image? | A) spoon | B) person | C) sandwich | D) parking meter | Answer with the letter and the object name.,B,B,0,3,3,0.6667,0.0,0,FP_Scattered
35197,Positive,Which of the following objects is in this image? | A) backpack | B) person | C) cup | D) couch | Answer with the letter and the object name.,B,B,0,1,0,0.5647,2.786400079727173,1,None
180135,Positive,Which of the following objects is in this image? | A) person | B) mouse | C) giraffe | D) potted plant | Answer with the letter and the object name.,A,A,0,4,1,0.7137,0.0,0,FP_Scattered
180560,Positive,Which of the following objects is in this image? | A) person | B) frisbee | C) bench | D) fork | Answer with the letter and the object name.,A,A,0,4,2,0.5412,0.0,0,FP_Scattered
347693,Positive,Which of the following objects is in this image? | A) bed | B) umbrella | C) surfboard | D) cake | Answer with the letter and the object name.,A,A,0,1,3,0.651,0.0,0,FP_Scattered
39956,Positive,Which of the following objects is in this image? | A) keyboard | B) fork | C) elephant | D) bed | Answer with the letter and the object name.,D,D,0,3,6,0.6824,0.0,0,FP_Scattered
66523,Positive,Which of the following objects is in this image? | A) train | B) frisbee | C) hot dog | D) bed | Answer with the letter and the object name.,D,D,0,4,0,0.6196,0.0,0,FP_Mispointed
355257,Positive,Which of the following objects is in this image? | A) bed | B) bird | C) book | D) scissors | Answer with the letter and the object name.,A,A,0,2,4,0.7176,0.0,0,FP_Scattered
142092,Positive,Which of the following objects is in this image? | A) bottle | B) pizza | C) mouse | D) banana | Answer with the letter and the object name.,B,B,0,1,5,0.6039,0.0,0,FP_Scattered
199551,Positive,Which of the following objects is in this image? | A) kite | B) sheep | C) sink | D) bed | Answer with the letter and the object name.,D,D,0,3,1,0.749,0.0,0,FP_Scattered
551215,Negative,Which of the following objects is in this image? | A) donut | B) carrot | C) surfboard | D) hair drier | Answer with the letter and the object name.,C,C,0,0,6,0.5647,0.0,0,FP_Hallucination
544519,Positive,Which of the following objects is in this image? | A) bus | B) orange | C) hair drier | D) person | Answer with the letter and the object name.,D,D,0,2,2,0.6078,0.0,0,FP_Scattered
96493,Positive,Which of the following objects is in this image? | A) keyboard | B) broccoli | C) orange | D) couch | Answer with the letter and the object name.,D,D,0,5,0,0.6157,1.2223000526428223,0,FP_LowEnergy
399462,Negative,Which of the following objects is in this image? | A) microwave | B) cat | C) skateboard | D) baseball bat | Answer with the letter and the object name.,C,C,0,0,1,0.6863,0.0,0,FP_Hallucination
342006,Negative,Which of the following objects is in this image? | A) sheep | B) motorcycle | C) wine glass | D) suitcase | Answer with the letter and the object name.,B,B,0,0,3,0.6353,0.0,0,FP_Hallucination
236412,Negative,Which of the following objects is in this image? | A) surfboard | B) umbrella | C) backpack | D) elephant | Answer with the letter and the object name.,C,C,0,0,9,0.5373,0.0,0,FP_Hallucination
153343,Positive,Which of the following objects is in this image? | A) laptop | B) bench | C) teddy bear | D) banana | Answer with the letter and the object name.,C,C,0,2,7,0.6745,0.0,0,FP_Scattered
231339,Positive,Which of the following objects is in this image? | A) horse | B) hot dog | C) keyboard | D) refrigerator | Answer with the letter and the object name.,D,D,0,4,4,0.6314,0.0,0,FP_Scattered
550426,Positive,Which of the following objects is in this image? | A) vase | B) pizza | C) keyboard | D) orange | Answer with the letter and the object name.,A,A,0,1,6,0.5765,0.0,0,FP_Scattered
368294,Positive,Which of the following objects is in this image? | A) person | B) laptop | C) apple | D) elephant | Answer with the letter and the object name.,A,A,0,2,9,0.5333,0.0,0,FP_Scattered
263796,Positive,Which of the following objects is in this image? | A) traffic light | B) hair drier | C) toilet | D) apple | Answer with the letter and the object name.,C,C,0,2,4,0.651,0.0,0,FP_Scattered
487583,Positive,Which of the following objects is in this image? | A) fire hydrant | B) truck | C) toilet | D) cake | Answer with the letter and the object name.,C,C,0,2,2,0.6078,0.0,0,FP_Scattered
504711,Positive,Which of the following objects is in this image? | A) clock | B) fork | C) teddy bear | D) motorcycle | Answer with the letter and the object name.,B,B,0,1,0,0.5373,2.3977999687194824,1,None
