Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Prompt Engineering for Large Language Models","This paper introduces practical and validated prompt engineering techniques for large language models, aiming to improve user experience and output in various applications.","Andrew Gao",2023,335,"With the popularization of software like OpenAI's ChatGPT and Google's Bard, large language models (LLMs) have pervaded many aspects of life and work. For instance, ChatGPT can be used to provide customized recipes, suggesting substitutions for missing ingredients. It can be used to draft research proposals, write working code in many programming languages, translate text between languages, assist in policy making, and more (Gao 2023). Users interact with large language models through ""prompts'', or natural language instructions. Carefully designed prompts can lead to significantly better outputs.In this review, common strategies for LLM prompt engineering will be explained. Additionally, considerations, recommended resources, and current directions of research on LLM prompt engineering will be discussed. Prompt engineering strategies based on finetuning will not be covered. The goal of this article is to introduce practical and validated prompt engineering techniques to a non-technical audience.","","SSRN Electronic Journal","","10.2139/ssrn.4504303","https://consensus.app/papers/prompt-engineering-for-large-language-models-gao/e6787e1728f0503c97967044a54b5e14/"
"Unleashing the potential of prompt engineering in Large Language Models: a comprehensive review","Prompt engineering techniques significantly enhance the performance and accuracy of Large Language Models and Vision-Language Models, while also addressing AI security concerns.","Banghao Chen, Zhaofeng Zhang, Nicolas Langren'e, Shengxin Zhu",2023,351,".","literature review","ArXiv","","","https://consensus.app/papers/unleashing-the-potential-of-prompt-engineering-in-large-chen-zhang/dea0bb5c700d54179835e33b9c137d57/"
"Effects of prompt engineering on large language model performance in response to questions on common ophthalmic conditions","","Jo-Hsuan Wu, Takashi Nishida, S. Moghimi, R. Weinreb",2024,5,"","","Taiwan Journal of Ophthalmology","3","10.4103/tjo.tjo-d-23-00193","https://consensus.app/papers/effects-of-prompt-engineering-on-large-language-model-wu-nishida/2ae9922373d2555e8d8ce436350bade6/"
"Explainability for Large Language Models: A Survey","This paper introduces a taxonomy of explainability techniques for Transformer-based language models, categorizes them based on training paradigms, and explores their potential for debugging and improving performance.","Haiyan Zhao, Hanjie Chen, F. Yang, Ninghao Liu, Huiqi Deng, Hengyi Cai, Shuaiqiang Wang, Dawei Yin, Mengnan Du",2023,706,"Large language models (LLMs) have demonstrated impressive capabilities in natural language processing. However, their internal mechanisms are still unclear and this lack of transparency poses unwanted risks for downstream applications. Therefore, understanding and explaining these models is crucial for elucidating their behaviors, limitations, and social impacts. In this article, we introduce a taxonomy of explainability techniques and provide a structured overview of methods for explaining Transformer-based language models. We categorize techniques based on the training paradigms of LLMs: traditional fine-tuning-based paradigm and prompting-based paradigm. For each paradigm, we summarize the goals and dominant approaches for generating local explanations of individual predictions and global explanations of overall model knowledge. We also discuss metrics for evaluating generated explanations and discuss how explanations can be leveraged to debug models and improve performance. Lastly, we examine key challenges and emerging opportunities for explanation techniques in the era of LLMs in comparison to conventional deep learning models.","","ACM Transactions on Intelligent Systems and Technology","1","10.1145/3639372","https://consensus.app/papers/explainability-for-large-language-models-a-survey-zhao-chen/1873d08d5855551bb4038692e52ab5c3/"
"A Systematic Survey of Prompt Engineering in Large Language Models: Techniques and Applications","Prompt engineering enhances large language models' capabilities without changing core parameters, enabling successful integration into various applications like question-answering and commonsense reasoning.","Pranab Sahoo, Ayush Kumar Singh, Sriparna Saha, Vinija Jain, S. Mondal, Aman Chadha",2024,669,"Prompt engineering has emerged as an indispensable technique for extending the capabilities of large language models (LLMs) and vision-language models (VLMs). This approach leverages task-specific instructions, known as prompts, to enhance model efficacy without modifying the core model parameters. Rather than updating the model parameters, prompts allow seamless integration of pre-trained models into downstream tasks by eliciting desired model behaviors solely based on the given prompt. Prompts can be natural language instructions that provide context to guide the model or learned vector representations that activate relevant knowledge. This burgeoning field has enabled success across various applications, from question-answering to commonsense reasoning. However, there remains a lack of systematic organization and understanding of the diverse prompt engineering methods and techniques. This survey paper addresses the gap by providing a structured overview of recent advancements in prompt engineering, categorized by application area. For each prompting approach, we provide a summary detailing the prompting methodology, its applications, the models involved, and the datasets utilized. We also delve into the strengths and limitations of each approach and include a taxonomy diagram and table summarizing datasets, models, and critical points of each prompting technique. This systematic analysis enables a better understanding of this rapidly developing field and facilitates future research by illuminating open challenges and opportunities for prompt engineering.","","ArXiv","","10.48550/arxiv.2402.07927","https://consensus.app/papers/a-systematic-survey-of-prompt-engineering-in-large-sahoo-singh/bf51a31b71b65496a2ce44d60794a557/"
"Unleashing the potential of prompt engineering for large language models","Prompt engineering enhances the utility and accuracy of large language models, and plays a crucial role in AI security by minimizing adversarial attacks and improving model robustness.","Banghao Chen, Zhaofeng Zhang, Nicolas Langrené, Shengxin Zhu",2023,131,"","literature review","Patterns","1","10.1016/j.patter.2025.101260","https://consensus.app/papers/unleashing-the-potential-of-prompt-engineering-for-large-chen-zhang/28e1a5d148b05e4d99767919a6f40d19/"
"From Redundancy to Relevance: Enhancing Explainability in Multimodal Large Language Models","A truncation strategy improves interpretability in multimodal large language models by reducing redundancy in shallow layers and enhancing the interaction between image and text in complex reasoning tasks.","Xiaofeng Zhang, Chen Shen, Xiaosong Yuan, Shaotian Yan, Liang Xie, Wenxiao Wang, Chaochen Gu, Hao Tang, Jieping Ye",2024,37,"Recently, multimodal large language models have exploded with an endless variety, most of the popular Large Vision Language Models (LVLMs) depend on sequential visual representation, where images are converted into hundreds or thousands of tokens before being input into the Large Language Model (LLM) along with language prompts. The black-box design hinders the interpretability of visual-language models, especially regarding more complex reasoning tasks. To explore the interaction process between image and text in complex reasoning tasks, we introduce the information flow method to visualize the interaction mechanism. By analyzing the dynamic flow of the information flow, we find that the information flow appears to converge in the shallow layer. Further investigation revealed a redundancy of the image token in the shallow layer. Consequently, a truncation strategy was introduced to aggregate image tokens within these shallow layers. This approach has been validated through experiments across multiple models, yielding consistent improvements.","","ArXiv","","10.48550/arxiv.2406.06579","https://consensus.app/papers/from-redundancy-to-relevance-enhancing-explainability-in-zhang-shen/fdea8047df2f543fb1e823e50eb86498/"
"How Multimodal LLMs Solve Image Tasks: A Lens on Visual Grounding, Task Reasoning, and Answer Decoding","Multimodal Large Language Models (MLLMs) have a consistent stage-wise structure, with early layers performing visual grounding, middle layers supporting lexical integration and semantic reasoning, and final layers preparing task-specific outputs.","Zhuoran Yu, Yong Jae Lee",2025,2,"Multimodal Large Language Models (MLLMs) have demonstrated strong performance across a wide range of vision-language tasks, yet their internal processing dynamics remain underexplored. In this work, we introduce a probing framework to systematically analyze how MLLMs process visual and textual inputs across layers. We train linear classifiers to predict fine-grained visual categories (e.g., dog breeds) from token embeddings extracted at each layer, using a standardized anchor question. To uncover the functional roles of different layers, we evaluate these probes under three types of controlled prompt variations: (1) lexical variants that test sensitivity to surface-level changes, (2) semantic negation variants that flip the expected answer by modifying the visual concept in the prompt, and (3) output format variants that preserve reasoning but alter the answer format. Applying our framework to LLaVA-1.5, LLaVA-Next-LLaMA-3, and Qwen2-VL, we identify a consistent stage-wise structure in which early layers perform visual grounding, middle layers support lexical integration and semantic reasoning, and final layers prepare task-specific outputs. We further show that while the overall stage-wise structure remains stable across variations in visual tokenization, instruction tuning data, and pretraining corpus, the specific layer allocation to each stage shifts notably with changes in the base LLM architecture. Our findings provide a unified perspective on the layer-wise organization of MLLMs and offer a lightweight, model-agnostic approach for analyzing multimodal representation dynamics.","","ArXiv","","10.48550/arxiv.2508.20279","https://consensus.app/papers/how-multimodal-llms-solve-image-tasks-a-lens-on-visual-yu-lee/adcc4bac8bf65ac199633fccbee417c4/"
"A Prompting Framework to Enhance Language Model Output","Prompt engineering, titled the ""PERFECT"" framework, significantly improves large-scale language models' performance and generalization across various NLP tasks and domains.","Himath Ratnayake, Can Wang",2023,12,"This research investigates the role of prompt engineering in enhancing the performance and generalisation of large-scale language models (LLMs) across a wide range of Natural Language Processing (NLP) tasks. The study introduces a comprehensive framework for prompt engineering, titled the ""PERFECT"" framework, and evaluates its effectiveness across different tasks and domains. The research findings underscore the pivotal role of advanced prompting techniques in eliciting more nuanced and flexible responses from AI models. The study also explores the future implications of prompt engineering, including the integration of reinforcement learning with human feedback, the emergence of prompt engineering as a new job market, and the rise of context-aware and interactive prompts. The research contributes to a deeper understanding of the principles, mechanisms, and best practices in prompt engineering, with practical implications for improving LLM performance and reducing the barrier to entry for new adoptees through using prompting frameworks. The research aims have been largely achieved, providing a new framework for prompting while also exploring future advancements. However, the study also highlights the need for further exploration of the constraints placed on current prompting techniques, such as token size and context window.","","","","10.1007/978-981-99-8391-9_6","https://consensus.app/papers/a-prompting-framework-to-enhance-language-model-output-ratnayake-wang/678a306a7a7b5e5f8e4e0eb0ac327e5d/"
"Large language models encode clinical knowledge","Large language models can improve clinical knowledge understanding and comprehension, but require human evaluation and method development for safe and effective clinical applications.","K. Singhal, Shekoofeh Azizi, T. Tu, S. Mahdavi, Jason Wei, Hyung Won Chung, Nathan Scales, A. Tanwani, H. Cole-Lewis, S. Pfohl, P. Payne, Martin G. Seneviratne, P. Gamble, C. Kelly, Nathaneal Scharli, A. Chowdhery, P. A. Mansfield, B. A. Y. Arcas, D. Webster, Greg S. Corrado, Yossi Matias, K. Chou, Juraj Gottweis, Nenad Tomašev, Yun Liu, A. Rajkomar, J. Barral, Christopher Semturs, A. Karthikesalingam, Vivek Natarajan",2022,3412,"Large language models (LLMs) have demonstrated impressive capabilities, but the bar for clinical applications is high. Attempts to assess the clinical knowledge of models typically rely on automated evaluations based on limited benchmarks. Here, to address these limitations, we present MultiMedQA, a benchmark combining six existing medical question answering datasets spanning professional medicine, research and consumer queries and a new dataset of medical questions searched online, HealthSearchQA. We propose a human evaluation framework for model answers along multiple axes including factuality, comprehension, reasoning, possible harm and bias. In addition, we evaluate Pathways Language Model(PaLM, a 540-billion parameter LLM) and its instruction-tuned variant, Flan-PaLMon MultiMedQA. Using a combination of prompting strategies, Flan-PaLM achieves state-of-the-art accuracy on every MultiMedQA multiple-choice dataset (MedQA, MedMCQA, PubMedQAand Measuring Massive Multitask Language Understanding (MMLU) clinical topics), including 67.6% accuracy on MedQA (US Medical Licensing Exam-style questions), surpassing the prior state of the art by more than 17%. However, human evaluation reveals key gaps. To resolve this, we introduce instruction prompt tuning, a parameter-efficient approach for aligning LLMs to new domains using a few exemplars. The resulting model, Med-PaLM, performs encouragingly, but remains inferior to clinicians. We show that comprehension, knowledge recall and reasoning improve with model scale and instruction prompt tuning, suggesting the potential utility of LLMs in medicine. Our human evaluations reveal limitations of today's models, reinforcing the importance of both evaluation frameworks and method development in creating safe, helpful LLMs for clinical applications.","","Nature","1","10.1038/s41586-023-06291-2","https://consensus.app/papers/large-language-models-encode-clinical-knowledge-singhal-azizi/e576b1acb3465dd4b5bcd1b9787448c7/"
