img_id,query_type,prompt,output,target_token,token_index,num_target_hotspots,num_distractors,kmeans_threshold,tbr,is_correct_id,failure_reason
1,Positive,"Is there a radiator?  If you are confident that the object is present, answer with 'Yes.There is a radiator in the image.' If you are confident that the object is not present, answer with 'No. There is no radiator in the image.'.",Yes.There is a radiator in the image.,radiator,4,1,4,0.5254999995231628,0.0,0,FP_Scattered
2,Positive,"Is there a pen?  If you are confident that the object is present, answer with 'Yes.There is a pen in the image.' If you are confident that the object is not present, answer with 'No. There is no pen in the image.'.",Yes.There is a pen in the image.,pen,4,1,3,0.6039000153541565,0.0,0,FP_Scattered
3,Positive,"Is there a vase?  If you are confident that the object is present, answer with 'Yes.There is a vase in the image.' If you are confident that the object is not present, answer with 'No. There is no vase in the image.'.",Yes.There is a vase in the image.,vase,4,1,4,0.5019999742507935,0.0,0,FP_Scattered
4,Positive,"Is there a pot?  If you are confident that the object is present, answer with 'Yes.There is a pot in the image.' If you are confident that the object is not present, answer with 'No. There is no pot in the image.'.",Yes.There is a pot in the image.,pot,4,1,2,0.53329998254776,0.0,0,FP_Scattered
5,Positive,"Is there a cup?  If you are confident that the object is present, answer with 'Yes.There is a cup in the image.' If you are confident that the object is not present, answer with 'No. There is no cup in the image.'.",Yes.There is a cup in the image.,cup,4,1,2,0.7059000134468079,0.0,0,FP_Scattered
6,Positive,"Is there a cabinet?  If you are confident that the object is present, answer with 'Yes.There is a cabinet in the image.' If you are confident that the object is not present, answer with 'No. There is no cabinet in the image.'.",Yes. There is a cabinet in the image.,cabinet,5,1,3,0.5724999904632568,0.0,0,FP_Scattered
7,Positive,"Is there a dog?  If you are confident that the object is present, answer with 'Yes.There is a dog in the image.' If you are confident that the object is not present, answer with 'No. There is no dog in the image.'.",Yes. There is a dog in the image.,dog,5,2,4,0.5842999815940857,0.0,0,FP_Scattered
8,Negative,"Is there a bag?  If you are confident that the object is present, answer with 'Yes.There is a bag in the image.' If you are confident that the object is not present, answer with 'No. There is no bag in the image.'.",Yes. There is a bag in the image.,bag,5,0,8,0.5881999731063843,0.0,0,FP_Hallucination
9,Negative,"Is there a cabinet?  If you are confident that the object is present, answer with 'Yes.There is a cabinet in the image.' If you are confident that the object is not present, answer with 'No. There is no cabinet in the image.'.",Yes. There is a cabinet in the image.,cabinet,5,0,4,0.5254999995231628,0.0,0,FP_Hallucination
10,Positive,"Is there a door?  If you are confident that the object is present, answer with 'Yes.There is a door in the image.' If you are confident that the object is not present, answer with 'No. There is no door in the image.'.",Yes. There is a door in the image.,door,5,1,4,0.6626999974250793,0.0,0,FP_Scattered
12,Positive,"Is there a shoes?  If you are confident that the object is present, answer with 'Yes.There is a shoes in the image.' If you are confident that the object is not present, answer with 'No. There is no shoes in the image.'.",Yes.There is a shoes in the image.,shoes,4,1,4,0.6510000228881836,0.0,0,FP_Scattered
13,Positive,"Is there a stone?  If you are confident that the object is present, answer with 'Yes.There is a stone in the image.' If you are confident that the object is not present, answer with 'No. There is no stone in the image.'.",Yes. There is a stone in the image.,stone,5,1,4,0.6705999970436096,0.0,0,FP_Scattered
14,Positive,"Is there a mouse?  If you are confident that the object is present, answer with 'Yes.There is a mouse in the image.' If you are confident that the object is not present, answer with 'No. There is no mouse in the image.'.",Yes.There is a mouse in the image.,mouse,4,1,3,0.5490000247955322,0.0,0,FP_Scattered
15,Positive,"Is there a bulb?  If you are confident that the object is present, answer with 'Yes.There is a bulb in the image.' If you are confident that the object is not present, answer with 'No. There is no bulb in the image.'.",Yes.There is a bulb in the image.,bulb,4,2,4,0.6039000153541565,0.0,0,FP_Scattered
16,Negative,"Is there a pen?  If you are confident that the object is present, answer with 'Yes.There is a pen in the image.' If you are confident that the object is not present, answer with 'No. There is no pen in the image.'.",No. There is no pen in the image.,NONE,-1,0,0,0.0,0.0,1,None
17,Positive,"Is there a tablet?  If you are confident that the object is present, answer with 'Yes.There is a tablet in the image.' If you are confident that the object is not present, answer with 'No. There is no tablet in the image.'.",Yes.There is a tablet in the image.,tablet,4,1,2,0.5059000253677368,0.0,0,FP_Scattered
18,Positive,"Is there a laptop?  If you are confident that the object is present, answer with 'Yes.There is a laptop in the image.' If you are confident that the object is not present, answer with 'No. There is no laptop in the image.'.",Yes.There is a laptop in the image.,laptop,4,2,9,0.48240000009536743,0.0,0,FP_Scattered
19,Positive,"Is there a controller?  If you are confident that the object is present, answer with 'Yes.There is a controller in the image.' If you are confident that the object is not present, answer with 'No. There is no controller in the image.'.",Yes. There is a controller in the image.,controller,5,1,2,0.49799999594688416,0.0,0,FP_Scattered
20,Negative,"Is there a television?  If you are confident that the object is present, answer with 'Yes.There is a television in the image.' If you are confident that the object is not present, answer with 'No. There is no television in the image.'.",No. There is no television in the image.,NONE,-1,0,0,0.0,0.0,1,None
