img_id,query_type,prompt,output,target_token,token_index,num_target_hotspots,num_distractors,kmeans_threshold,tbr,is_correct_id,failure_reason
403385,Positive,"Is there a toilet?  If you are confident that the object is present, answer with 'Yes.There is a toilet in the image.' If you are confident that the object is not present, answer with 'No. There is no toilet in the image.'.",Yes.There is a toilet in the image.,toilet,4,1,5,0.5019999742507935,0.0,0,FP_Scattered
331352,Positive,"Is there a toilet?  If you are confident that the object is present, answer with 'Yes.There is a toilet in the image.' If you are confident that the object is not present, answer with 'No. There is no toilet in the image.'.",Yes.There is a toilet in the image.,toilet,4,2,5,0.5685999989509583,0.0,0,FP_Scattered
143931,Positive,"Is there a bus?  If you are confident that the object is present, answer with 'Yes.There is a bus in the image.' If you are confident that the object is not present, answer with 'No. There is no bus in the image.'.",Yes.There is a bus in the image.,bus,4,6,0,0.5372999906539917,1.2944999933242798,1,None
153299,Positive,"Is there a giraffe?  If you are confident that the object is present, answer with 'Yes.There is a giraffe in the image.' If you are confident that the object is not present, answer with 'No. There is no giraffe in the image.'.",Yes.There is a giraffe in the image.,Yes,0,1,7,0.5724999904632568,0.0,0,FP_Scattered
308394,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,3,7,0.38040000200271606,0.0,0,FP_Scattered
41888,Positive,"Is there a bird?  If you are confident that the object is present, answer with 'Yes.There is a bird in the image.' If you are confident that the object is not present, answer with 'No. There is no bird in the image.'.",Yes.There is a bird in the image.,bird,4,1,9,0.5960999727249146,0.0,0,FP_Scattered
184321,Positive,"Is there a train?  If you are confident that the object is present, answer with 'Yes.There is a train in the image.' If you are confident that the object is not present, answer with 'No. There is no train in the image.'.",Yes.There is a train in the image.,train,4,2,2,0.5411999821662903,0.0,0,FP_Scattered
297343,Negative,"Is there a teddy bear?  If you are confident that the object is present, answer with 'Yes.There is a teddy bear in the image.' If you are confident that the object is not present, answer with 'No. There is no teddy bear in the image.'.",No. There is no teddy bear in the image.,NONE,-1,0,0,0.0,0.0,1,None
336587,Positive,"Is there a stop sign?  If you are confident that the object is present, answer with 'Yes.There is a stop sign in the image.' If you are confident that the object is not present, answer with 'No. There is no stop sign in the image.'.",Yes. There is a stop sign in the image.,Yes,0,0,3,0.5960999727249146,0.0,0,FP_Scattered
122745,Positive,"Is there a stop sign?  If you are confident that the object is present, answer with 'Yes.There is a stop sign in the image.' If you are confident that the object is not present, answer with 'No. There is no stop sign in the image.'.",Yes.There is a stop sign in the image.,Yes,0,1,8,0.5881999731063843,0.0,0,FP_Scattered
555705,Positive,"Is there a cat?  If you are confident that the object is present, answer with 'Yes.There is a cat in the image.' If you are confident that the object is not present, answer with 'No. There is no cat in the image.'.",Yes.There is a cat in the image.,cat,4,1,0,0.5019999742507935,1.8361999988555908,1,None
443303,Negative,"Is there a orange?  If you are confident that the object is present, answer with 'Yes.There is a orange in the image.' If you are confident that the object is not present, answer with 'No. There is no orange in the image.'.",Yes. There is a orange in the image.,orange,5,0,2,0.5842999815940857,0.0,0,FP_Hallucination
418281,Positive,"Is there a cow?  If you are confident that the object is present, answer with 'Yes.There is a cow in the image.' If you are confident that the object is not present, answer with 'No. There is no cow in the image.'.",Yes.There is a cow in the image.,cow,4,1,5,0.5372999906539917,0.0,0,FP_Scattered
85329,Negative,"Is there a boat?  If you are confident that the object is present, answer with 'Yes.There is a boat in the image.' If you are confident that the object is not present, answer with 'No. There is no boat in the image.'.",No. There is no boat in the image.,NONE,-1,0,0,0.0,0.0,1,None
